track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Jaws of Love.,Jaws of Love.,2xyKzXtiQNIN0olxhnRr8Z,0.528,0.71,9,-9.043,1,0.0452,0.636,0.569,0.169,0.207,93.524,audio_features,2xyKzXtiQNIN0olxhnRr8Z,spotify:track:2xyKzXtiQNIN0olxhnRr8Z,https://api.spotify.com/v1/tracks/2xyKzXtiQNIN0olxhnRr8Z,https://api.spotify.com/v1/audio-analysis/2xyKzXtiQNIN0olxhnRr8Z,322093,3
Technicolor,Tomas Barfod,4k66lla7eNpGhnCGaL531E,0.852,0.527,9,-10.951,0,0.0309,0.462,0.858,0.167,0.631,115.973,audio_features,4k66lla7eNpGhnCGaL531E,spotify:track:4k66lla7eNpGhnCGaL531E,https://api.spotify.com/v1/tracks/4k66lla7eNpGhnCGaL531E,https://api.spotify.com/v1/audio-analysis/4k66lla7eNpGhnCGaL531E,306829,4
Map to the Stars,Ducktails,6x9rKrPS14pSldTCGsGjnc,0.756,0.515,7,-10.243,0,0.0307,0.387,0.135,0.112,0.753,136.0,audio_features,6x9rKrPS14pSldTCGsGjnc,spotify:track:6x9rKrPS14pSldTCGsGjnc,https://api.spotify.com/v1/tracks/6x9rKrPS14pSldTCGsGjnc,https://api.spotify.com/v1/audio-analysis/6x9rKrPS14pSldTCGsGjnc,200171,4
Lay U Down / Sexy,Baro,1R5CbFRWcmEzLyqknHQMTe,0.458,0.333,1,-10.853,1,0.0696,0.0945,0.0563,0.33,0.284,59.923,audio_features,1R5CbFRWcmEzLyqknHQMTe,spotify:track:1R5CbFRWcmEzLyqknHQMTe,https://api.spotify.com/v1/tracks/1R5CbFRWcmEzLyqknHQMTe,https://api.spotify.com/v1/audio-analysis/1R5CbFRWcmEzLyqknHQMTe,225173,4
Glow - GAIKA Zicatea Dub,18+,0XKWG0H5DWwrIkQP3i4YKt,0.252,0.614,7,-7.982,1,0.049,0.00133,0.185,0.164,0.077,130.143,audio_features,0XKWG0H5DWwrIkQP3i4YKt,spotify:track:0XKWG0H5DWwrIkQP3i4YKt,https://api.spotify.com/v1/tracks/0XKWG0H5DWwrIkQP3i4YKt,https://api.spotify.com/v1/audio-analysis/0XKWG0H5DWwrIkQP3i4YKt,248942,4
Glow - GAIKA Zicatea Dub,GAIKA,0XKWG0H5DWwrIkQP3i4YKt,0.252,0.614,7,-7.982,1,0.049,0.00133,0.185,0.164,0.077,130.143,audio_features,0XKWG0H5DWwrIkQP3i4YKt,spotify:track:0XKWG0H5DWwrIkQP3i4YKt,https://api.spotify.com/v1/tracks/0XKWG0H5DWwrIkQP3i4YKt,https://api.spotify.com/v1/audio-analysis/0XKWG0H5DWwrIkQP3i4YKt,248942,4
All This Life,Starsailor,6rVgxV0FbC5BRKQeHRGS3f,0.533,0.867,9,-6.817,0,0.0622,8.7e-05,7.92e-06,0.228,0.532,129.04,audio_features,6rVgxV0FbC5BRKQeHRGS3f,spotify:track:6rVgxV0FbC5BRKQeHRGS3f,https://api.spotify.com/v1/tracks/6rVgxV0FbC5BRKQeHRGS3f,https://api.spotify.com/v1/audio-analysis/6rVgxV0FbC5BRKQeHRGS3f,174840,4
Feel the Same,Bully,7Ac57QRAscrw2QL6TNok5J,0.556,0.903,0,-5.157,1,0.0819,0.0846,9.71e-05,0.42,0.446,177.657,audio_features,7Ac57QRAscrw2QL6TNok5J,spotify:track:7Ac57QRAscrw2QL6TNok5J,https://api.spotify.com/v1/tracks/7Ac57QRAscrw2QL6TNok5J,https://api.spotify.com/v1/audio-analysis/7Ac57QRAscrw2QL6TNok5J,119453,4
Children of the Revolution (The Reflex Revision),T. Rex,6RIWli8jCko1H4SCQOULSF,0.672,0.587,9,-5.947,1,0.0365,0.169,0.0002,0.0643,0.412,132.014,audio_features,6RIWli8jCko1H4SCQOULSF,spotify:track:6RIWli8jCko1H4SCQOULSF,https://api.spotify.com/v1/tracks/6RIWli8jCko1H4SCQOULSF,https://api.spotify.com/v1/audio-analysis/6RIWli8jCko1H4SCQOULSF,308893,4
Children of the Revolution (The Reflex Revision),The Reflex,6RIWli8jCko1H4SCQOULSF,0.672,0.587,9,-5.947,1,0.0365,0.169,0.0002,0.0643,0.412,132.014,audio_features,6RIWli8jCko1H4SCQOULSF,spotify:track:6RIWli8jCko1H4SCQOULSF,https://api.spotify.com/v1/tracks/6RIWli8jCko1H4SCQOULSF,https://api.spotify.com/v1/audio-analysis/6RIWli8jCko1H4SCQOULSF,308893,4
So Polite,Summer Salt,5Sas7BSU6bcEpZS3c9crmB,0.788,0.2,2,-11.211,0,0.0288,0.786,0.000886,0.165,0.314,105.946,audio_features,5Sas7BSU6bcEpZS3c9crmB,spotify:track:5Sas7BSU6bcEpZS3c9crmB,https://api.spotify.com/v1/tracks/5Sas7BSU6bcEpZS3c9crmB,https://api.spotify.com/v1/audio-analysis/5Sas7BSU6bcEpZS3c9crmB,105511,4
Here On My Own,U.N.P.O.C.,46goq6gjiQNdFbfQiQzSdY,0.282,0.748,9,-4.841,1,0.0286,0.418,0.0784,0.112,0.234,99.718,audio_features,46goq6gjiQNdFbfQiQzSdY,spotify:track:46goq6gjiQNdFbfQiQzSdY,https://api.spotify.com/v1/tracks/46goq6gjiQNdFbfQiQzSdY,https://api.spotify.com/v1/audio-analysis/46goq6gjiQNdFbfQiQzSdY,207467,4
Mood Swing,Clara Luzia,1rpHQItAVASF3ukFR4mf6J,0.196,0.752,9,-4.439,0,0.0516,0.00133,0.0,0.109,0.399,206.484,audio_features,1rpHQItAVASF3ukFR4mf6J,spotify:track:1rpHQItAVASF3ukFR4mf6J,https://api.spotify.com/v1/tracks/1rpHQItAVASF3ukFR4mf6J,https://api.spotify.com/v1/audio-analysis/1rpHQItAVASF3ukFR4mf6J,157084,4
